app-fuzz/bss,fuzzers,bss
app-fuzz/ohrwurm,fuzzers,ohrwurm
app-fuzz/scapy,fuzzers,scapy
app-crypt/plaintoo,cracker,plaintoo.desktop
app-crypt/chntpw,cracker,chntpw
net-analyzer/absinthe,database,absinthe.desktop
net-analyzer/aimsniff,analyzer,aimsniff.desktop
net-analyzer/amap,fingerprint,amap
net-analyzer/arpwatch,analyzer,arpwatch
net-analyzer/authforce,cracker,authforce
net-analyzer/autoscan,scanner,autoscan.desktop
net-analyzer/bmon,analyzer,bmon
net-analyzer/cheops-ng,scanner,cheops-ng.desktop
net-analyzer/dnsa,analyzer,dnsa.desktop
net-analyzer/dnsenum,analyzer,dnsenum.desktop
net-analyzer/driftnet,analyzer,driftnet.desktop
net-analyzer/dsniff,mitm,dsniff.desktop
net-analyzer/ethereal,analyzer,ethereal.desktop
net-analyzer/ettercap,mitm,ettercap.desktop
net-analyzer/firewalk,scanner,firewalk.desktop
net-analyzer/fragroute,forging-spoofing,fragroute.desktop
net-analyzer/ftester,analyzer,ftest
net-analyzer/gnome-nettool,analyzer,gnome-nettool.desktop
net-analyzer/gspoof,forging-spoofing,gspoof.desktop
net-analyzer/honeyd,misc,honeyd.desktop
net-analyzer/hping,forging-spoofing,hping.desktop
net-analyzer/hunt,forging-spoofing,hunt.desktop
net-analyzer/hydra,cracker,hydra.desktop
net-analyzer/ike-scan,scanner,ike-scan.desktop
net-analyzer/isic,forging-spoofing,isic.desktop
net-analyzer/macchanger,misc,macchanger
net-analyzer/mbrowse,analyzer,mbrowse.desktop
net-analyzer/metacoretex-ng,database,metacoretex-ng.desktop
net-analyzer/metasploit,exploit,msf-console.desktop msf-web.desktop
net-analyzer/nbtscan,scanner,nbtscan.desktop
net-analyzer/nessus,scanner,nessus.desktop
net-analyzer/netdude,analyzer,netdude.desktop
net-analyzer/netwag,forging-spoofing,netwag.desktop
net-analyzer/nikto,scanner,nikto.desktop
net-analyzer/nmap,scanner,nmap.desktop
net-analyzer/nmbscan,scanner,nmbscan.desktop
net-analyzer/ntop,analyzer,ntop.desktop
net-analyzer/ntp-fingerprint,fingerprint,ntp-fingerprint
net-analyzer/p0f,fingerprint,p0f
net-analyzer/packit,forging-spoofing,packit.desktop
net-analyzer/paketto,forging-spoofing,paketto-linkcat.desktop paketto-minewt.desktop paketto-paratrace.desktop paketto-scanrand.desktop
net-analyzer/rain,forging-spoofing,rain.desktop
net-analyzer/sara,scanner,sara.desktop
net-analyzer/scanssh,fingerprint,scanssh
net-analyzer/siphon,fingerprint,siphon
net-analyzer/smtpmap,fingerprint,smtpmap
net-analyzer/snmpenum,analyzer,snmpenum
net-analyzer/snort,misc,snort
net-analyzer/sqlat,database,sqlat.desktop
net-analyzer/sqlbf,database,sqlbf
net-analyzer/sqlinject,database,sqlinject.desktop
net-analyzer/tcptraceroute,analyzer,tcptraceroute
net-analyzer/thcrut,analyzer,thcrut.desktop
net-analyzer/upnpscan,scanner,upnpscan.desktop
net-analyzer/xprobe,fingerprint,xprobe.desktop
net-analyzer/yersinia,exploit,yersinia.desktop
net-analyzer/zodiac,analyzer,zodiac.desktop
net-firewall/firehol,misc,firehol.desktop
net-firewall/fwbuilder,misc,fwbuilder.desktop
net-ftp/ftpd,misc,ftpd.desktop
net-ftp/oftpd,misc,oftpd
net-im/gaim,misc,gaim.desktop
net-irc/irssi,misc,irssi
net-irc/xchat,misc,xchat.desktop
net-misc/bridge-utils,mitm,brctl
net-misc/curl,misc,curl
net-misc/dhcpcd,misc,dhcpcd
net-misc/etherwake,misc,etherwake.desktop
net-misc/ipsorcery,forging-spoofing,ipsorcery.desktop
net-misc/minisip,sip-voip,minisip.desktop
net-misc/nemesis,forging-spoofing,nemesis.desktop
net-misc/partysip,sip-voip,partysip.desktop
net-misc/proxychains,proxy,proxychains
net-misc/raccess,exploit,raccess.desktop
net-misc/rdesktop,misc,rdesktop.desktop
net-misc/sipbomber,sip-voip,sipbomber.desktop
net-misc/sipp,sip-voip,sipp.desktop
net-misc/siproxd,sip-voip,siproxd.desktop
net-misc/sipsak,sip-voip,sipsak.desktop
net-misc/tightvnc,misc,vncviewer
net-misc/tinc,misc,tinc.desktop
net-misc/tsclient,misc,tsclient.desktop
net-misc/voipong,sip-voip,voipong.desktop
net-nds/gq,analyzer,gq.desktop
net-nds/lat,analyzer,lat.desktop
net-proxy/3proxy,proxy,3proxy.desktop
net-proxy/httpush,proxy,httpush.desktop
net-proxy/paros,proxy,paros.desktop
net-proxy/privoxy-tor,proxy,privoxy-tor.desktop
net-proxy/webscarab,proxy,webscarab.desktop
net-wireless/aircrack-ng,wireless,aircrack-ng airdecap-ng aireplay-ng airodump-ng
net-wireless/airsnort,wireless,airsnort.desktop
net-wireless/airtraf,wireless,airtraf
net-wireless/btscanner,bluetooth,btscanner.desktop
net-wireless/gkismet,wireless,gkismet.desktop gkismetauto.desktop
net-wireless/gnome-bluetooth,bluetooth,gnome-bluetooth.desktop
net-wireless/kismet,wireless,kismet.desktop kismetauto.desktop
net-wireless/wavemon,wireless,wavemon.desktop
net-wireless/waveselect,wireless,waveselect
net-wireless/wepattack,wireless,wepattack
net-wireless/wepdecrypt,wireless,wepdecrypt
net-wireless/wifiscanner,wireless,wifiscanner
net-wireless/wifitap,wireless,wifitap
net-wireless/wpa_supplicant,wireless,wpa_supplicant
net-www/apache,misc,apache.desktop
